reg_no,reg_date,attendanceRate,studyHours
67808dcd84c1d1bd15508356d5850fd160d0f5501c758f08aed944bc505f123c,22/02/2021,97,21.4
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,11/09/2021,72.57,10.5
a8cbef089436f9d587c2bed0abe138efe84e7d248dd4a9cfcb78d5bf003424bc,23/09/2021,63.69,7.6
30328755d1c0e95d14653ece2fc665348ec98210f8e4be59fafe7470c231d5d2,18/02/2021,98,8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,07/09/2020,79,6.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,22/09/2021,75.5,15.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,22/09/2021,84,9.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,20/09/2020,74.32,13.9
807ce3d988534ea2da3a289ca294bd6086d3cfe2d37b60ebcac3aab75199d962,13/02/2021,82,19.7
779a43e69db1a8994f7741cfaac56a9c85d4dedd3392162fc8dfdee622abc2cf,10/02/2020,70,22.1
60aec04358cfdbb04b6e82a96552a49631da7434623d6ac5c4655c21b52daf8e,07/02/2021,98,24.7
fbb3bfcf3d445113643461ec6b0dc4b9fb3365c3e2b02db14c317eddcf4ea65b,26/09/2021,80,24.9
0204dd1e2be18c401b81449a96c0484d4524c3b57865ebd3dbe286c2e0268666,15/02/2021,72.14,14
57a8192732bdcbaae9fce9532ba06e57d5f95d1742a62de9ab4b8958fcafd114,15/09/2021,82,21.9
3ea3d76f63aa45ebd683800701a2de5880e604f542827afda312e8d50fea857c,17/09/2020,70,17.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/09/2021,70.5,9.4
58ae21dddcbd83015741256611b0cdb27df30b576b1e7a037ed351bd6c9169c9,22/09/2020,72,24.6
24fe55446e54bc9174c30a04669ce2487206052117f80c671eeb1d49ed1d544c,10/02/2020,81,16.7
b03bac86b37758b86e7f2af4dec3e48b3256805b918c240dc4f7ae67063852bb,03/02/2021,86,20.2
6824a1fc92168d5f876615768f94d7a52e9efb10f30e1a9a3f2b3139bc139cd4,22/09/2020,93,21.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/02/2021,78.81,20
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,05/09/2020,79,18.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,02/02/2020,81,21.3
3c0f837cd6ac8a85ae40582f589fdfa47c1f5b059b31c8359e78289d3c55d8bf,16/09/2020,70,11.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,15/02/2020,82,7.3
800ab895375d3e0dab16a3d116e3bd6f3b654838cf674f99b20f5ef0af62b247,21/09/2021,71,7.8
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,23/09/2020,79.17,14.3
32d44045e98456809ec557a94c8551e672d823b3aba4212ba5832cd4db9e5e00,16/09/2021,90,20.7
18f11419c4e88718253c3bd4e2e326fb5eb1eed81347c8e5c63f2a20c690a2ce,08/09/2021,89,20.8
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,21/09/2020,79,18.8
2605d37d471c94314ab20862e52079a2c982eff7973908df176db57359e9c889,25/02/2020,78.05,16.8
6079eeeffd91dc121d83eb102773411ea672c5bde06bc37eb8824eab3d5bea25,25/02/2020,89,12.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,08/09/2021,75,15.3
42ebbf475b977fdf35c1eb302a594f879fcc64eca227e71764250022a7f5cdcb,26/09/2020,98,13.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,02/09/2021,71.7,6
b4d683ca7ca6cf9ed6a9798f5194ba443a75f6534b471280671d15c7d082a6f8,28/09/2020,83,21.9
2b9b74dd59b8c42287610f7a726a917c1f66369627ff86eac1841332b0ef415c,15/02/2020,79,10.7
7901db1bc1b4b0b32a6fff7754e8da228899339d53e7e70165bf69230b59f1f3,26/09/2020,75,17.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,22/09/2021,78.99,11
e2b77998830373e19f2e7716208b5cdae4deb2f5736dffc8e320a8e95c65e764,25/02/2021,88,16.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,20/09/2021,98,8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,27/09/2021,77,12.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,06/09/2021,63.69,7.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,15/09/2021,70.67,16.6
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,25/02/2021,77,19.9
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,27/09/2020,82,18.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,25/02/2021,85,16.9
67d6dab12ee9543e53071057a2990b48dc89577f23602193201d5362d771fe59,21/09/2021,84,17.2
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,09/09/2020,86,14.7
a2a7cba1fe1c8cbe096d9831c20e35efd0456c2fad67b57594f895b5dc8e7a7d,03/09/2021,74,17.5
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,08/02/2021,73,14.2
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,11/02/2021,74.52,8.8
bd802bc563b3c5917a647ab5710c743df552fccf6b902562eab3703b12203123,18/02/2021,85,20
1b7764ef5b51b3d3f645c7009ad278b12d3be2a871db96c3f48b60a1609b47c0,05/02/2020,89,24.8
770b0e76684b2f94bd16ec7f3f615944872c9c9d00e21fd0abb1cdd0f69fb9ec,08/09/2020,89,22.2
ea91fa66255a9c25d4537bd4d10d156874ccd9948fc9d5ddbd16f6ee67cc4b30,23/09/2021,75,18.9
0322f82d56ec4ee54c78c35c3ef967090b4a5cb97b13ab0ddbfa26f5f9330438,23/09/2020,87,17.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,03/09/2020,75.55,15.4
37e17131a237aa8756bac58f8248cd85c7ea2086afa3fa03a52bca2c4f04650d,14/09/2021,70,15.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,18/02/2021,82,23
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,14/09/2021,63.69,7.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,07/02/2020,75.29,19.3
b2a2c1062a90cb77626cc4f9060ab8bb6a11537a6ba60a7f3f47d90d40164e90,13/09/2021,83,16.1
86c763cc7169a63dea8c0db1d817206672eb390e774044be1de30531dba7535b,28/02/2020,71,18.4
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,16/09/2021,86,19.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,12/02/2020,77.52,12.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,25/02/2021,98,8.6
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,28/09/2021,76.11,14.4
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,18/09/2021,71.92,11.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,16/09/2020,70.67,16.6
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,09/09/2020,98,10
35ffc583d9b8b02a43d2968c546cf1bc4f1b13a576c588884c8de34103d4054b,16/09/2021,73,17.7
5bee47f5204c48a7c09b67f3c63b49ef1e90bc23dbb37e28349fb4ee7d636e9c,13/02/2020,95,18.9
1d930d609d45bd3093678bfc30a24d5e9d6f09439f9f2f831751061e6e3bf344,22/02/2021,83,23.3
4f93e485cbe67ec64bd094c1801b5a24b2348ae48f08b26eb7fc6e6615b07433,24/09/2021,82,18.5
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,27/09/2020,72.57,10.5
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,05/09/2021,77.52,12.6
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,13/02/2020,98,8.6
9dcd829a775ce8a83a3a97ab22c9a13cf68c07dc5025e6836f4cd55d9630911a,03/02/2020,81,20.5
2533d9664afeedcffa2e0532cb902f7ad2ba6f2a4ae84205501bd9d090613233,05/09/2021,78.48,10.7
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/09/2021,78.81,20
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,09/02/2020,77,12.2
72077738909415b6d804a90d5247ad8924f4e2b2b2328e7e33f5dfc6259a1b7d,11/09/2021,87,13.7
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,15/09/2020,72,15.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,11/02/2021,71.3,19.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,09/09/2021,74,19.4
425971be0aa113dbcf5a101176181bc4bf57633e295f52dfb02446bb9b7b2195,09/09/2021,92,15.8
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,16/02/2020,87,13.7
92708695ae7480f071a0ac93336c087165f0ab00fb230e2c411d375baa3da382,24/02/2020,79.31,18.9
499b7145a90b36024bd3f260c4dbee12fc75defb5aad223ad3cd6d205cd2103c,12/02/2020,79,21.1
92708695ae7480f071a0ac93336c087165f0ab00fb230e2c411d375baa3da382,21/09/2020,72,16.2
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,25/02/2020,73,12.7
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,25/02/2020,78.81,20
b7edae000bc44110357a998f1e4ed22ec61ba88f7ccbfac5682a27068d2cf418,08/02/2020,86,24.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,27/09/2020,76,10.3
89e59730ce160a061f369aa75bfdf9ca62921c0b0bf58a27974366fcf77d9b8d,20/02/2020,96,22.5
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,08/09/2020,72,15.2
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,16/09/2020,77,19.9
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,19/02/2020,73,12.7
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,15/09/2020,75.29,19.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,25/02/2021,85,16.9
92d3b3016bf540a3311ed76ab121e988ef5fcd96e20a27b3109e9c49b56dcb0d,06/02/2021,81,16.6
12a3720d9fb9421f724ce7f34e42be425f93b0c73c381854913bc4155f067aea,25/02/2020,78,17.4
4a9df627eb2d4d7dded197dec0baf2df0562bfad73744d05f59a3cbfcb3c0bc2,10/09/2020,80,23.4
76104f121c0a3045fa77e11f49b7f135d4165de4aae5279723ce36a1793531b8,19/02/2020,90,19.1
5ac3d0817aaedfec373f169255495a4bf0e50df5061a593d23b2f509956166d1,10/02/2020,82,17.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,13/09/2021,94,17.9
313c81a1ba84f4f9a31ca8a9c839793989bf0d9980e3a82f903206ecf08d0168,03/09/2020,81,23.6
0b2edb1386b80924d5f2e4358233179e4cf51b90d11ab13e698dfd7d2917ca9b,04/09/2020,83,23.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,28/02/2021,90,14.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,26/02/2020,95,8.7
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,12/02/2020,91,9.1
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,22/09/2021,88,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,03/02/2021,72.14,14
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,01/02/2021,77,12.2
53364fffa41f0169b78731b726275d21399d16ee771ec274e9ee6957f9f2eb85,27/09/2021,73,20.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,04/09/2021,82,14
6023f5a76cd11017d2008933464b883f696d22b6946c0f8e11a310ff7f7d9fa3,12/09/2021,78.34,15.3
ba5f039866272d6cb75f5f85e638de6047111c7f615230aa3950bd98beeb5b75,23/09/2021,74,15.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,14/09/2020,89,12.2
570fb5f64f0887546ee459c635d0db81deb5834a9f56f3282616a46be3052457,24/09/2020,95,20
da54640c4fc6d8a6472a990c3f2b539ed7f767cb7c90b43d5667e3ff85b69810,20/02/2021,81,23.7
79d7ee9c1ec9c452b4174f4483814664baa7ed00f982b53dcc483c978d9b475d,15/09/2021,72,21.1
ed04b3a24210e2667ec664ef361994d606cab10e5e14e516a3b01caba46da8b8,27/09/2021,70,16.5
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,11/02/2021,74,19.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,27/09/2020,81,16.6
ce4a5b6b49c22887e07a3cf9841b6b31ac6adcd0509c20caa3a331e95663cdcd,09/02/2020,86,19.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,08/09/2021,74.27,8.3
d10be1d6dd6a9d8e7d7c0b61c26adb07e51d0d5e5458668047376f459476e07a,19/09/2021,85,15.8
8973e4913ab1b8fd978b4b47725583b875751b7d822c1cb19f3d9a262e547541,11/09/2021,83,20.8
22d7dd275e52deb5400a15995fb3fa90c60c3bb518a60e31a49057120efe8928,16/02/2020,74,25
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/02/2021,77.36,15.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,07/09/2021,90,14.9
cea4cda3080af0b2156ca8e1a3785dea44a1febbdea29e0d40b7d1cf4b48524c,26/02/2021,91,21.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,11/02/2021,83,17
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,20/02/2021,77.98,16
d0c39df02e4e338136b3628963d5815c94df212d045c149c21d92511d98e4ce2,18/02/2021,93,21.8
02cf1c6f876362977ecca9c1f4b42435262cc003644d07ac330ff5f179f5b12c,17/02/2020,81,19.7
08f4ed1fab9915a9ea4dddf75c537fdd378996f0fdb597cca76665d55306945e,03/09/2020,74,22.1
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,24/09/2020,75,15.3
0274e6e0507b778234a77cdc048ea362f2cf157d31a5092ace698f444cbea554,16/09/2021,89,17.5
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,23/09/2020,94,17.9
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,21/09/2021,76.06,19.6
991ebdfb53f709524657b75d1596c7c5ec6dde1850f171640da84e6d8928e6a3,15/09/2021,88,24.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,03/02/2020,63.69,7.6
a20290ae3bcf9b14dd32101c1ad53b133ea0ac3e5d4f425bf11b3f27a852937f,08/02/2021,84,23.9
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,23/09/2021,80,8.8
c5a4f647cc09d2a9202e60880a5f0b394b8f2a0d7828b63c3e822e7b314e8ebf,10/09/2020,96,12.5
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,16/02/2021,76,18.5
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,14/02/2021,84,15.1
6f4d6927caad1b167869f07fbd7d7153a859f3a47d671f3077a2d4d2307ad8a2,12/02/2021,77,21.3
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,09/09/2021,75,15.3
5b6cfac8685dfc7a165376cda0b27c590ccb7d7d8b87c41bf2d87b8d23403e16,09/02/2021,76,20.3
0a49f601af089a695401550a739a2bd0ed1129a12c7d353db9b2fe4db75f3c30,04/09/2020,84,15.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,11/09/2020,75.5,15.9
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,24/02/2020,86,16.8
3f3f1dbf92c8c860b53e17620471672b3a58c671c9a4b0ac76258cf227095674,07/09/2020,76.46,7.5
af6cbaeee46b5b5fefea9eadbb7d385c34b67b6ab81bef3db4e054d75bd4fd7f,24/09/2020,90,24.6
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,09/09/2021,88,17
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,04/02/2021,94,17.9
9465c75738744c548f6bc3fadf16d34f93c738350f453e5612a8bc04cf81c14b,10/09/2020,76,22.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,12/09/2020,77.29,15.8
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,10/09/2020,70.67,16.6
da2278fede519114865bf890403d73f721a663724d9fb260246eeee5dcd76878,23/02/2020,75.69,10.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,09/09/2020,96,16.2
bc56ec87d35d53e3893ba22ab7ef145361930aefe5efdd8dd70358efa4d17b5f,02/02/2020,89,15.5
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,23/02/2021,88,17
f9e5f3e32e26d16140c5817a36c3503f135ba396d4b730a2fe16c7692b2b4d4c,21/09/2020,87,17.1
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,04/09/2021,92,6
5dafaa283c1ae5655406576b6b5b6c44fc950300673acdc95ebc46396a82728e,19/02/2020,86,14.7
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,16/02/2021,88,17
f48b2c6b12d7bed6c2ff446bd66caecd4571cad33794019c367d4231721e0f3c,15/09/2021,78,19.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/02/2021,78.78,14
12ec6873b294a69f32097e1af728e0ee934901769ec2f050ab31f5d98a1ce925,09/02/2020,75,23.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,04/09/2021,84,15.1
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,13/02/2020,73.53,7.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,03/09/2021,94,10.7
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,05/02/2020,78.99,11
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,26/09/2020,91,9.1
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,03/02/2021,83,19.2
a0988b976904b052f98514134ac9cbcb93f9612305d5178ad549b32436b00934,04/09/2020,77,21.8
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,20/09/2021,70.67,16.6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,25/09/2020,85,14.2
119310669981ad3001de984904a5acadae56118dab9a7f5808764f2926de5449,15/09/2021,72,16.2
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,10/09/2021,78,17.4
a0877bf04dfaceb24f5409a0261296af83fda15ca7bd8a1b8e0d96187e3e9351,10/09/2021,78.34,15.3
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,20/02/2020,93,19.3
664a2a28434b5f4393a8ff606db1bc3c108214467e8fd16b826ce6ffc2d39d7f,25/02/2020,87,19.2
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,21/09/2020,75.5,15.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,09/09/2020,73,8.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,06/02/2020,79,10.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,06/09/2020,74.62,8.9
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,06/02/2020,92,11.2
de5730de29e3192293aabc0224d14ab34e16c0604d93e297772849864721e429,14/02/2020,75.28,10.6
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,23/09/2021,90,14.9
f3b0c3a8f3b19346d2f1a9bd73027d5cc6d01a4c28ea5baae5fe3a0b7ad7a585,10/09/2021,84,22
80a5ccc831a1f936548fbb4f395509e569256b51c3fbc93ff30241a9ee406819,08/02/2020,94,20.2
7f52a728e660d9ed866b9af3194768afea375318e14e7c63be7e6d86c948c1da,23/02/2021,97,20.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,23/02/2021,90,11.6
dbb1a69ad1b186bfc41b43f59e97b154a6e084ca04bc8ca7204edff573114b95,03/09/2021,74,18.5
1e5ab9003cef167c3b3358df809c02a63cdf0f99f77182128bfc0db2526f9733,09/09/2020,84,23.8
c71bfcbfc03de2bca5c17bb029d9b3aad021aeb65cc6df68d04febb64d6f39cd,14/09/2020,87,18.2
92708695ae7480f071a0ac93336c087165f0ab00fb230e2c411d375baa3da382,18/02/2020,88,17
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,21/09/2020,98,14
662499f595904352cbc55f6ff8bf3b421e82be26401a76f7491ca66bab8894f8,09/09/2020,77.75,13.2
a9d25a24247d0c29d9aec07e12d019628602cf8d17fe450fb808d56989716cc4,03/09/2020,96,24.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,06/02/2020,71.7,6
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,20/02/2021,82,9.1
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,15/02/2021,98,8
92c7f4d012ab2e4d67eec409d718523ec1ef5d61590cdbfc3f71d8ab3e12018b,15/02/2020,95,18.4
408c52adbda321eb3131fcd06de8a181a9915a0a34b4ab6b91967b860d2f258e,23/02/2021,85,19.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,09/09/2021,73.14,17.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,15/09/2021,78.48,10.7
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,20/02/2020,89,12.2
92708695ae7480f071a0ac93336c087165f0ab00fb230e2c411d375baa3da382,14/02/2020,75.55,19.6
c76e29739eb6b79aa659a0c3d40007810d954ee7780cbdc1d9567d9a8b266ad3,20/02/2021,77.41,12.8
8ee8d2cf1ff9b0ae7090a3860dde62f30d879c89da60c52a66357fbc31c65889,01/02/2021,91,19.4
b69eefa3ead7d042bb3e87976718036434e2d3eb463fadb6e0698cb2da7b5979,08/02/2020,81,20.7
b60e1b3e7e2ee089184f905ce3e357eabb7e3ec17950e9895cc33fa6f56549a7,25/02/2020,98,22.7
4fc1f33bbed4f049f5e90c4cd75769f1f4f2322ae240563b11ebc723060e40d3,19/02/2021,78,18.1
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,25/02/2020,86,9.4
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,16/09/2020,95,8.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,09/09/2021,81,16.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,19/09/2020,83,24.3
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,21/09/2021,95,8.7
b1884084503c0f701282198ec1abb988e9b556743be34af48c266c6f5b29a70e,03/09/2021,80,17.2
6079ec351af39f3d851948b7fafd078371fa0eaf18a510ecf916db4dd7b882e4,12/09/2021,73.14,17.4
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,11/09/2021,91,23.3
952516bed0dbe0d0039450a930e6579bac81329466bd1c95034019f0fc733b4b,22/02/2021,80,22.9
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,28/02/2020,92,10.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,11/09/2020,98,14
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,23/09/2021,88,18.5
103aad7fc105509d3cf47407550106bce776eb80f4762dfddc21580d0d07d230,10/09/2021,86,19.9
7ee7ba03a34cb0a7357b818d0ed41e5e1a76085609a4f1e1e135b8f6b04d0890,27/09/2021,87,20.6
988a40300aef64543ec218c37356638a496e306eef88a7ec7d3891a097da0ad5,15/02/2020,93,24.2
9db5caeee11d0c8ef86e1a5dca4d289bcdd792152abb0e482d13f52be61ee2db,11/02/2020,86,14.7
0ffbfb92383b41ea679ad9b3a087f4e38b87808410f68a135fa8c616a16cea0c,11/02/2021,92,15.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,25/02/2020,76,13
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,28/09/2021,76,10.3
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,22/02/2020,73.53,7.8
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,14/09/2021,78,17.4
f5468e44d6c85c4fc4823c2a5aacb44a78d6d60b5c14ecf8f47f4b4dd75db817,07/02/2020,78,17.3
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,20/02/2021,90,11.6
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,21/09/2021,82,7.3
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,25/09/2021,85,14.2
9d190ce10084b87196390246cc0409cc34cb02218093915448c286aedc5d00e8,07/02/2020,71.3,19.3
c26481b91c40e082db92c4b5d284482aa5868c7a43e7fd6d894bcb930b928039,18/02/2021,77,19.9
0725ab8b5d18a1d08f144f93f8bca495dad4335b49655aae89ed8afd8b8d48d7,10/09/2020,84,23.7
6146f4848cf9fa2b8ee189d3cfb2a7d99c8f9c3f2f48806f37c5af119cdce9b0,23/09/2021,71,17
